Title,Link,Description,Date,Guid,length
Quantifying skill needs in Europe,http://skillspanorama.cedefop.europa.eu/en/useful_resources/quantifying-skill-needs-europe,Quantifying skill needs in Europe2013http://www.cedefop.europa.eu/EN/Files/5530_en.pdf,"Mon, 05 Oct 2015 12:32:46 +0000",15173 at http://skillspanorama.cedefop.europa.eu,86
Briefing note - Preventing skill obsolescence,http://skillspanorama.cedefop.europa.eu/en/useful_resources/briefing-note-preventing-skill-obsolescence,"Briefing note - Preventing skill obsolescence2012Skill obsolescence is the ‘degree to which professionals lack the up-to-date knowledge or skills necessary to maintain effective performance in their current or future work roles’ . There are two main types of skill obsolescence:
Physical skill obsolescence: physical or cognitive skills and abilities deteriorate due to atrophy or wear and tear;
Economic skill obsolescence: skills previously utilised in a job are no longer required or have diminished in importance.
Other types include organisational forgetting  and perspectivistic obsolescence .
Briefing note - Preventing skill obsolescence","Mon, 05 Oct 2015 12:32:46 +0000",15174 at http://skillspanorama.cedefop.europa.eu,645
Skills for a low-carbon Europe: The role of VET in a sustainable energy scenario. Synthesis report,http://skillspanorama.cedefop.europa.eu/en/useful_resources/skills-low-carbon-europe-role-vet-sustainable-energy-scenario-synthesis-report,"Skills for a low-carbon Europe: The role of VET in a sustainable energy scenario. Synthesis report2013This report provides an analysis of the labour market impacts associated with European Union policy interventions designed to support the transition to a high employment, low-carbon economy. In the European Union , regulation and policy are influenced by the ‘20- 20-20’ targets in the Europe 2020 strategy. The EU is aiming to reduce greenhouse gas emissions by at least 20% compared to 1990 levels, increase the share of renewable energy sources in final energy consumption by 20%, and reduce energy use relative to projected 2020 levels by 20%. In this context, the study has sought to:
 develop a feasible policy scenario consistent with Europe 2020 targets, building on existing macroeconomic and energy scenarios at EU level;
 deepen the understanding of workforce composition and skill needs driven by renewable energy and energy saving targets and the implications for education and training policies;
 consider the broader policy context and governance of VET, to identify practices which support  the effective development and deployment of skills necessary for a low-carbon Europe.
The report also examines the impacts of this transition in selected sectors, with a particular focus on establishing the challenges and responses required at sector level for ensuring that economic actors have the relevant skills to allow them to support a ‘low-carbon transition’. There is particular focus on the role and responsiveness of vocational education and training , both initial  and continuing .
Skills for a low-carbon Europe: The role of VET in a sustainable energy scenario. Synthesis report","Mon, 05 Oct 2015 12:32:46 +0000",15175 at http://skillspanorama.cedefop.europa.eu,1702
Piloting a European employer survey on skill needs - Illustrative findings,http://skillspanorama.cedefop.europa.eu/en/useful_resources/piloting-european-employer-survey-skill-needs-illustrative-findings,Piloting a European employer survey on skill needs - Illustrative findings2013http://www.cedefop.europa.eu/EN/Files/5536_en.pdf,"Mon, 05 Oct 2015 12:32:46 +0000",15176 at http://skillspanorama.cedefop.europa.eu,127
Commission Staff Working Document Employment and Social Developments in Europe 2012 - Chapter 6: The Skill Mismatch Challenge in Europe,http://skillspanorama.cedefop.europa.eu/en/useful_resources/commission-staff-working-document-employment-and-social-developments-europe-2012-chapter-6,"Commission Staff Working Document Employment and Social Developments in Europe 2012 - Chapter 6: The Skill Mismatch Challenge in Europe2013One out of three European employees is either over- or under-qualified, with the mismatch especially high in Mediterranean countries. The results show that countries with higher-skill mismatches share some common characteristics. They tend to have lower levels of public investment in education and training, which might reduce their quality and ability to respond to changing labour market needs. They also have lower expenditure on labour market programmes and more rigid and segmented labour markets, as the qualification mismatch predominantly affects younger male workers on non-standard contracts. Young people and immigrants suffer more from over-qualification, while ageing workers are more prone to skills obsolescence.
Commission Staff Working Document Employment and Social Developments in Europe 2012 - Chapter 6: The Skill Mismatch Challenge in Europe","Mon, 05 Oct 2015 12:32:46 +0000",15177 at http://skillspanorama.cedefop.europa.eu,1003
"Migrants, minorities, mismatch? - Skill mismatch among migrants and ethnic minorities in Europe",http://skillspanorama.cedefop.europa.eu/en/useful_resources/migrants-minorities-mismatch-skill-mismatch-among-migrants-and-ethnic-minorities-europe,"Migrants, minorities, mismatch? - Skill mismatch among migrants and ethnic minorities in Europe2011http://www.cedefop.europa.eu/EN/Files/5516_en.pdf","Mon, 05 Oct 2015 12:32:46 +0000",15178 at http://skillspanorama.cedefop.europa.eu,148
Skills for rural employment and development,http://skillspanorama.cedefop.europa.eu/en/useful_resources/skills-rural-employment-and-development,Skills for rural employment and development2014http://www.ilo.org/wcmsp5/groups/public/---ed_emp/---ifp_skills/documents/publication/wcms_237240.pdf,"Mon, 05 Oct 2015 12:32:46 +0000",15179 at http://skillspanorama.cedefop.europa.eu,148
Skills for Employment Policy Brief - Enhancing youth employability: the importance of core work skills,http://skillspanorama.cedefop.europa.eu/en/useful_resources/skills-employment-policy-brief-enhancing-youth-employability-importance-core-work-skills,Skills for Employment Policy Brief - Enhancing youth employability: the importance of core work skills2013http://www.ilo.org/skills/pubs/WCMS_234467/lang--en/index.htm,"Mon, 05 Oct 2015 12:32:46 +0000",15180 at http://skillspanorama.cedefop.europa.eu,167
Global Employment Trends for Youth 2013: A generation at risk,http://skillspanorama.cedefop.europa.eu/en/useful_resources/global-employment-trends-youth-2013-generation-risk,"Global Employment Trends for Youth 2013: A generation at risk2013The weakening of the global recovery in 2012 and 2013 has further aggravated the youth jobs crisis and the queues for available jobs have become longer and longer for some unfortunate young jobseekers. So long, in fact, that many youth are giving up on the job search. The prolonged jobs crisis also forces the current generation of youth to be less selective about the type of job they are prepared to accept, a tendency that was already evident before the crisis. Increasing numbers of youth are now turning to available part-time jobs or find themselves stuck in temporary employment. Secure jobs, which were once the norm for previous generations – at least in the advanced economies – have become less easily accessible for today’s youth.
Global Employment Trends for Youth 2013: A generation at risk","Mon, 05 Oct 2015 12:32:46 +0000",15181 at http://skillspanorama.cedefop.europa.eu,870
Skills needs in greening economies,http://skillspanorama.cedefop.europa.eu/en/useful_resources/skills-needs-greening-economies,"Skills needs in greening economies2014This paper has been commissioned by the European social partners ETUC, BUSINESSEUROPE, CEEP and UEAPME, on 21 December 2012 in relation to external expertise on “Skills needs in greening economies”. The “Skills needs in greening economies”, project takes place within the context of the INTEGRATED PROGRAMME of the EU Social Dialogue 2013-14. It serves to underline the important role played by trade unions, employers’ organisations and individual employers in supporting the Europe 2020 strategy’s goal of turning the EU into a smart, sustainable and inclusive economy capable of delivering high levels of employment, productivity and social cohesion. 2 
Skills needs in greening economies","Mon, 05 Oct 2015 12:32:46 +0000",15182 at http://skillspanorama.cedefop.europa.eu,729
Investing in the Future of Jobs and Skills,http://skillspanorama.cedefop.europa.eu/en/useful_resources/investing-future-jobs-and-skills,Investing in the Future of Jobs and Skills2009http://www.eurofound.europa.eu/publications/htmlfiles/ef0985.htm,"Mon, 05 Oct 2015 12:32:46 +0000",15183 at http://skillspanorama.cedefop.europa.eu,110
The Main Features of Vocational Training in Romanian Companies in 2010,http://skillspanorama.cedefop.europa.eu/en/useful_resources/main-features-vocational-training-romanian-companies-2010,The Main Features of Vocational Training in Romanian Companies in 20102014http://www.eurofound.europa.eu/ewco/2014/02/RO1402029I.htm,"Mon, 05 Oct 2015 12:32:46 +0000",15184 at http://skillspanorama.cedefop.europa.eu,132
Qualifikationsstrukturbericht des AMS Österreich für 2013 - Ergebnisse des AMS-Qualifikationsbarometer (Structure of qualifications in Austria 2013 - Report on the results of the AMS qualification barometer),http://skillspanorama.cedefop.europa.eu/en/useful_resources/qualifikationsstrukturbericht-des-ams-%C3%B6sterreich-f%C3%BCr-2013-ergebnisse-des-ams,Qualifikationsstrukturbericht des AMS Österreich für 2013 - Ergebnisse des AMS-Qualifikationsbarometer 2014http://www.forschungsnetzwerk.at/downloadpub/QSB-Bericht_2013_Oesterreich.pdf,"Mon, 05 Oct 2015 12:32:46 +0000",15185 at http://skillspanorama.cedefop.europa.eu,184
Analysis of the data basis on future qualifications supply and demand in Austria,http://skillspanorama.cedefop.europa.eu/en/useful_resources/analysis-data-basis-future-qualifications-supply-and-demand-austria,"Analysis of the data basis on future qualifications supply and demand in Austria2013Ιn Kooperation mit dem WIFO wurde an der Erstellung einer objektivierten Datengrundlage für die österreichische Qualifizierungspolitik gearbeitet, um unterschiedliche Situationswahrnehmungen unter den SozialpartnerInnen zu reduzieren. Ein wichtiger Bestandteil ist die Evaluierung der Europäischen Prognosen von Qualifikationsbedarf und –angebot im Auftrag von CEDEFOP aus österreichischer Sicht, und der Vergleich der Ergebnisse mit nationalen Daten und Projektionen. 
Es wird ein Vergleich von verschiedenen Prognosen von Arbeitskräfteangebot und Arbeitskräftenachfrage angestellt, und der Weg durch die Krise 2008/09 mittels Simulationen analysiert, um strukturelle und konjunkturelle Faktoren abzuwägen. Es erfolgt eine Einschätzung der mittelfristigen CEDEFOP-Prognosewerte auf der Angebots- und Nachfrageseite nach Ausbildung, Berufsgruppen und Wirtschaftssektoren. Der Wandel in der Ausbildungsstruktur der Erwerbstätigen wird mittels eines Shift–Share Modell analysiert und der Ersatzbedarf eingeschätzt.
Schließlich werden die vorhandenen demografische Prognosen im Hinblick auf die Qualifikationsentwicklung eingeschätzt und mit Daten und Analysen zur Weiterbildung, zu Personalsuche und Rekrutierungsschwierigkeiten, sowie zu Technikqualifikationen konfrontiert. Die Entwicklung von Migration wird speziell berücksichtigt.
Analyse der Datengrundlage zum künftigen Qualifikationsangebot und -bedarf in Österreich","Mon, 05 Oct 2015 12:32:46 +0000",15186 at http://skillspanorama.cedefop.europa.eu,1506
Forecast of employment and unemployment in Austria until the year 2018,http://skillspanorama.cedefop.europa.eu/en/useful_resources/forecast-employment-and-unemployment-austria-until-year-2018,"Forecast of employment and unemployment in Austria until the year 20182014The phase of stagnation of the Austrian economy, which could be observed at the beginning of 2013, has been overcome. Since mid-2013 a slight upward trend has been recorded, which is expected to accelerate during the forecast horizon . The GDP growth is projected to average 2.4% by the year 2018. Austria’s competitive export sector will benefit from improved international framework conditions. Compared to 2012, the global economic climate has brightened, and the situation in some EU Member States has stabilised – despite the continuing high unemployment and the limited room for manoeuvre of public budgets. NonEuropean third countries will become increasingly important as export destinations for Austria in the period up to 2018.
The labour market supply in Austria will continue to expand significantly during the forecast period. In 2014 labour supply will again increase from the prior-year level. This is due to several overlapping developments which have an expansionary effect on the labour market supply, e.g.:
the Europeanisation of the Austrian labour market
the increasing economic activity of women
expanding labour supply in the wake of reforms which aim at increasing the retirement age.
The recently observed minor economic recovery will be reflected in the employment behaviour of Austrian enterprises only with some delay. The employment growth will accelerate only in the second half of 2014. The total number of persons employed will increase by 224,400 between 2014 and 2018. In 2018 about 3,616,000 persons will therefore hold standard jobs.
The Austrian labour market will be confronted with increasing unemployment up to the year 2015. The number of jobless persons will start decreasing from the prior-year level only in 2016. The unemployment rate will rise to 8.1% in 2014 and drop insignificantly as from the year 2015. An unemployment rate of 7.1% is likely to be reported in 2018.
Ausblick auf Beschäftigung und Arbeitslosigkeit in Österreich bis zum Jahr 2018","Mon, 05 Oct 2015 12:32:46 +0000",15187 at http://skillspanorama.cedefop.europa.eu,2070
Bottleneck Vacancies in Austria,http://skillspanorama.cedefop.europa.eu/en/useful_resources/bottleneck-vacancies-austria,"Bottleneck Vacancies in Austria2013The main sectors displaying persistent vacancy filling difficulties are the hospitality sector, the building and construction sectors and the ICT sector. The ICT sector exhibits particular shortages of analysts, software developers and systems technicians. The main labour shortages in Austria are among engineering professionals and associate staff, construction workers and electricians, as well as machinery and metal workers. Bottleneck vacancies predominantly appear in technical/industrial occupations and related crafts. A shortage of health associate professionals is observed in the health sector. With the exception of vacancies for nursing associate professionals, which have seen a slight improvement, all bottlenecks have worsened or remained at similar levels since 2008. Data on the nature of the shortages were not available.
Bottleneck Vacancies in Austria","Mon, 05 Oct 2015 12:32:46 +0000",15188 at http://skillspanorama.cedefop.europa.eu,908
Survey of Adult Skills (PIAAC) - First Results Austria,http://skillspanorama.cedefop.europa.eu/en/useful_resources/survey-adult-skills-piaac-first-results-austria,Survey of Adult Skills  - First Results Austria2013http://www.oecd.org/site/piaac/Country%20note%20-%20Austria.pdf,"Mon, 05 Oct 2015 12:32:46 +0000",15189 at http://skillspanorama.cedefop.europa.eu,114
Schlüsselkompetenzen von Erwachsenen. Erste Ergebnisse der PIAAC-Erhebung 2011/12  (Key competences of adults. First results from the PIAAC-Survey 2011/12),http://skillspanorama.cedefop.europa.eu/en/useful_resources/schl%C3%BCsselkompetenzen-von-erwachsenen-erste-ergebnisse-der-piaac-erhebung-201112-key,Schlüsselkompetenzen von Erwachsenen. Erste Ergebnisse der PIAAC-Erhebung 2011/12  2013http://www.oecd.org/site/piaac/Austria_piaac-erhebung_2011_12.pdf,"Mon, 05 Oct 2015 12:32:46 +0000",15190 at http://skillspanorama.cedefop.europa.eu,152
Labour market & Education October 2014,http://skillspanorama.cedefop.europa.eu/en/useful_resources/labour-market-education-october-2014,"Labour market &amp; Education October 20142014In der Gliederung der Arbeitslosen nach der höchsten abgeschlossenen Ausbildung sieht man Ende Oktober 2014, dass 46,7% keine die Pflichtschule übersteigende Schulbildung aufzuweisen haben. Der Anteil an Arbeitslosen, der über einen Lehrabschluss verfügt, liegt bei unter einem Drittel . Die umseitige Abbildung veranschaulicht, wie sich die arbeitslosen Männer und Frauen hinsichtlich der höchsten abgeschlossenen Bildung unterscheiden.
Arbeitsmarkt &amp; Bildung Oktober 2014","Mon, 05 Oct 2015 12:32:46 +0000",15191 at http://skillspanorama.cedefop.europa.eu,523
AMS Skills barometer,http://skillspanorama.cedefop.europa.eu/en/useful_resources/ams-skills-barometer,AMS Skills barometer2014AMS Qualifikationsbarometer,"Mon, 05 Oct 2015 12:32:46 +0000",15192 at http://skillspanorama.cedefop.europa.eu,51
Economic outlook 2014-2019,http://skillspanorama.cedefop.europa.eu/en/useful_resources/economic-outlook-2014-2019,"Economic outlook 2014-20192014Een van de belangrijkste opdrachten van het Federaal Planbureau  bestaat erin de beleidsmakers te helpen anticiperen op de toekomstige evolutie van de Belgische economie. Onder de verantwoordelijkheid van het INR maakt het FPB aldus twee keer per jaar, in februari en september, kortetermijnvooruitzichten voor de Belgische economie - de Economische begroting - met het oog op, zoals de naam aangeeft, de opmaak van de Rijksbegroting en de controle ervan. Op verzoek van de sociale partners, publiceert het FPB in mei de Economische middellangetermijnvooruitzichten in een internationale context. In het verlengde daarvan worden, in samenwerking met regionale instellingen, de Regionale economische vooruitzichten opgesteld. De Nime Outlook beschrijft één keer per jaar middellangetermijnvooruitzichten voor de wereldeconomie. Het FPB publiceert om de drie jaar Langetermijnenergievooruitzichten voor België. Ook om de drie jaar maakt het, in samenwerking met de FODMobiliteit en Vervoer, Langetermijnvooruitzichten voor transport in België. Tot slot maakt het FPB jaarlijks in samenwerking met de ADSEI Bevolkingsvooruitzichten op lange termijn.
Economische vooruitzichten 2014-2019","Mon, 05 Oct 2015 12:32:46 +0000",15194 at http://skillspanorama.cedefop.europa.eu,1213
The changing structure and quality of jobs in Belgium,http://skillspanorama.cedefop.europa.eu/en/useful_resources/changing-structure-and-quality-jobs-belgium,"The changing structure and quality of jobs in Belgium2009Deze bijdrage geeft een overzicht van de recente veranderingen in de banenstructuur in België,haar oorzaken en m ogelijke gevolgen voor de inkom ensongelijkheid.Er is een polarisatie van de banenstructuur:de tewerkstellingsaandelen van de gem iddeld betaalde banen in de industrie en kantoorbanen verdwijnen ten gunste van zowelhoogbetaalde professionele banen als laagbetaalde dienstenbanen.Op de korte term ijn neem t de gem iddelde baankwaliteit toe, m aar tegelijk ook de variatie in baankwaliteit en daarm ee de ongelijkheid.We verklaren het fenom een polarisatie aan de hand van arbeidsvraag gerelateerde oorzaken, nam elijk technologische verandering en globalisering.Ten slotte argum enteren we hoe deze verschuivingen in de banenstructuur zich over de langere term ijn kunnen vertalen naar veranderingen in de verloningsstructuur.
De veranderende structuur en kwaliteit van banen in België","Mon, 05 Oct 2015 12:32:46 +0000",15195 at http://skillspanorama.cedefop.europa.eu,955
Recente ontwikkelingen op en vooruitzichten voor de arbeidsmarkt - Report 2014 (Recent labour market developments and prospects - Report 2014),http://skillspanorama.cedefop.europa.eu/en/useful_resources/recente-ontwikkelingen-op-en-vooruitzichten-voor-de-arbeidsmarkt-report-2014-recent-labour,Recente ontwikkelingen op en vooruitzichten voor de arbeidsmarkt - Report 2014 2014http://www.werk.belgie.be/publicationDefault.aspx?id=41752,"Mon, 05 Oct 2015 12:32:46 +0000",15196 at http://skillspanorama.cedefop.europa.eu,141
Ingenieursbarometer editie 2014 (Engineers barometer edition 2014),http://skillspanorama.cedefop.europa.eu/en/useful_resources/ingenieursbarometer-editie-2014-engineers-barometer-edition-2014,Ingenieursbarometer editie 2014 2014http://www.usgprofessionals.be/docs/default-source/usgengineering/dvdi/2014usg-ingenieursbarometer-interactive.pdf?sfvrsn=2,"Mon, 05 Oct 2015 12:32:46 +0000",15197 at http://skillspanorama.cedefop.europa.eu,159
Temus Fugit. Een aggiornamento van toekomstverkenningen voor de zorgveroepen in de Vlaamse Gemeenschap (Tempus Fugit. An aggiornamento of foresights for care professions within the Flemish Community),http://skillspanorama.cedefop.europa.eu/en/useful_resources/temus-fugit-een-aggiornamento-van-toekomstverkenningen-voor-de-zorgveroepen-de-vlaamse,Temus Fugit. Een aggiornamento van toekomstverkenningen voor de zorgveroepen in de Vlaamse Gemeenschap 2014https://steunpuntwvg.be/images/rapporten-en-werknotas/tempus-fugit,"Mon, 05 Oct 2015 12:32:46 +0000",15198 at http://skillspanorama.cedefop.europa.eu,173
Plan Marshall 2.vert (Marshall Plan 2.green),http://skillspanorama.cedefop.europa.eu/en/useful_resources/plan-marshall-2vert-marshall-plan-2green,Plan Marshall 2.vert 2014http://www.wallonie.be/sites/wallonie/files/actualites/fichiers/texte_integral_nl_pm2v.pdf,"Mon, 05 Oct 2015 12:32:46 +0000",15199 at http://skillspanorama.cedefop.europa.eu,115
Competitiveness of Belgium: Challenges and roads to growth,http://skillspanorama.cedefop.europa.eu/en/useful_resources/competitiveness-belgium-challenges-and-roads-growth,"Competitiveness of Belgium: Challenges and roads to growth2012Het Federaal Planbureau heeft in mei 2012 een tussentijds rapport over het concurrentievermogen van België opgesteld als antwoord op een verzoek van de Eerste Minister in het kader van de eerste fase van de opmaak van het relanceplan. Dit rapport maakte de balans op van het concurrentievermogen van België en informeerde de regering over de situatie van België ten opzichte van de drie buurlanden. De analyses werden voortgezet om de determinanten van het concurrentievermogen te achterhalen en bijgevolg ook de belangrijkste toekomstige uitdagingen om het concurrentievermogen te verbeteren. De huidige publicatie, die op 26 oktober 2012 werd afgerond, geeft een overzicht van die analyses. Ze werd meegedeeld aan de Eerste Minister en de minister van Economie als technische ondersteuning voor de tweede fase van het relanceplan in het kader van de opmaak van de begroting 2013. 
Concurrentievermogen van België: Uitdagingen en groeipistes","Mon, 05 Oct 2015 12:32:46 +0000",15200 at http://skillspanorama.cedefop.europa.eu,1004
Indicatoren: Education (Indicators: Education),http://skillspanorama.cedefop.europa.eu/en/useful_resources/indicatoren-education-indicators-education,Indicatoren: Education 2014http://www.plan.be/databases/indicator_det.php?lang=nl&amp;KeyPub=1326,"Mon, 05 Oct 2015 12:32:44 +0000",15101 at http://skillspanorama.cedefop.europa.eu,97
Pomladanska napoved gospodarskih gibanj 2012 (Spring forecast of economic trends 2012),http://skillspanorama.cedefop.europa.eu/en/useful_resources/pomladanska-napoved-gospodarskih-gibanj-2012-spring-forecast-economic-trends-2012-0,Pomladanska napoved gospodarskih gibanj 2012 2012http://www.umar.gov.si/fileadmin/user_upload/publikacije/analiza/Pomladanska_napoved_2012/PNGG_2012_daljsa.pdf,"Mon, 05 Oct 2015 12:32:44 +0000",15102 at http://skillspanorama.cedefop.europa.eu,159
"Napoved Zaposlovanja Za, Leto 2011 (Employment forecast 2011)",http://skillspanorama.cedefop.europa.eu/en/useful_resources/napoved-zaposlovanja-za-leto-2011-employment-forecast-2011,"Napoved Zaposlovanja Za, Leto 2011 2011http://www.ess.gov.si/_files/2484/Rezultati_ankete_LPZAP_2010-11.pdf","Mon, 05 Oct 2015 12:32:44 +0000",15103 at http://skillspanorama.cedefop.europa.eu,107
Working futures 2010-2020: sectoral report,http://skillspanorama.cedefop.europa.eu/en/useful_resources/working-futures-2010-2020-sectoral-report,Working futures 2010-2020: sectoral report2012http://webarchive.nationalarchives.gov.uk/20140108090250/http://www.ukces.org.uk/assets/ukces/docs/publications/working-futures-sectoral-report.pdf,"Mon, 05 Oct 2015 12:32:44 +0000",15104 at http://skillspanorama.cedefop.europa.eu,193
Working futures 2010-2020 (Evidence Report 41 -Revised August 2012),http://skillspanorama.cedefop.europa.eu/en/useful_resources/working-futures-2010-2020-evidence-report-41-revised-august-2012,Working futures 2010-2020 2012http://webarchive.nationalarchives.gov.uk/20140108090250/http://www.ukces.org.uk/assets/ukces/docs/publications/evidence-report-41-working-futures-2010-2020.pdf,"Mon, 05 Oct 2015 12:32:44 +0000",15105 at http://skillspanorama.cedefop.europa.eu,190
UK Commission’s Employer Skills  Survey 2011: UK Results (Evidence Report 45 July 2012),http://skillspanorama.cedefop.europa.eu/en/useful_resources/uk-commission%E2%80%99s-employer-skills-survey-2011-uk-results-evidence-report-45-july-2012,UK Commission’s Employer Skills  Survey 2011: UK Results 2012http://webarchive.nationalarchives.gov.uk/20140108090250/http://www.ukces.org.uk/assets/ukces/docs/publications/ukces-employer-skills-survey-11.pdf,"Mon, 05 Oct 2015 12:32:44 +0000",15106 at http://skillspanorama.cedefop.europa.eu,208
Destinations of leavers from higher education in the United Kingdom for the academic year 2010/11,http://skillspanorama.cedefop.europa.eu/en/useful_resources/destinations-leavers-higher-education-united-kingdom-academic-year-201011,"Destinations of leavers from higher education in the United Kingdom for the academic year 2010/112012It has been released according to the arrangements approved by the UK Statistics Authority. It provides details of the destinations of UK and other European Union domiciled leavers from higher education  who obtained qualifications in higher education institutions  in the United Kingdom , during the academic year 2010/11. The data presented draws on the 2010/11 Destinations of Leavers from Higher Education  survey and presents five year time series analyses relating to the 2006/07-2010/11 DLHE surveys.
Destinations of leavers from higher education in the United Kingdom for the academic year 2010/11","Mon, 05 Oct 2015 12:32:44 +0000",15107 at http://skillspanorama.cedefop.europa.eu,706
"Graduates in the labour market, 2012",http://skillspanorama.cedefop.europa.eu/en/useful_resources/graduates-labour-market-2012,"Graduates in the labour market, 20122012Rise in percentage of recent graduates in lower skilled jobs 
The percentage of recent graduates, people who completed a degree or higher education qualification within the last six years, employed in lower skilled jobs has increased from around 26.7 per cent in 2001, or just over one in every four recent graduates, to around 35.9 per cent, or more than one in three recent graduates in the final quarter of 2011. Higher skill jobs generally require competence through post-compulsory education whereas lower skill jobs tend to require competence only through compulsory education.
Graduates in the Labour Market, 2012","Mon, 05 Oct 2015 12:32:44 +0000",15108 at http://skillspanorama.cedefop.europa.eu,660
Youth or experience? Human capital in Poland,http://skillspanorama.cedefop.europa.eu/en/useful_resources/youth-or-experience-human-capital-poland,Youth or experience? Human capital in Poland2013http://bkl.parp.gov.pl/system/files/Downloads/20121128143313/Raport_2013_eng.pdf?1384867715,"Mon, 05 Oct 2015 12:32:44 +0000",15109 at http://skillspanorama.cedefop.europa.eu,139
Weiterbildungsverhalten in Deutschland (Training behavior in Germany),http://skillspanorama.cedefop.europa.eu/en/useful_resources/weiterbildungsverhalten-deutschland-training-behavior-germany,Weiterbildungsverhalten in Deutschland 2013http://www.die-bonn.de/doks/2013-weiterbildungsverhalten-01.pdf,"Mon, 05 Oct 2015 12:32:44 +0000",15110 at http://skillspanorama.cedefop.europa.eu,106
Best practices in competence: a barometer for companies,http://skillspanorama.cedefop.europa.eu/en/useful_resources/best-practices-competence-barometer-companies,"Best practices in competence: a barometer for companies2015Als centraal project binnen de onderzoekslijn “Competentiegebaseerde arbeidsmarkt” werd in 2007 de panelstudie “Best practices in competentieontwikkeling: een barometer voor bedrijven” opgestart. Meer specifiek wil dit onderzoek inzicht verwerven in de bouwstenen die deel uitmaken van een geïntegreerde aanpak van competentieontwikkeling. In deze longitudinale studie, die loopt van 2007 tot 2011, werden 22 organisaties betrokken die een voortrekkersrol spelen op het vlak van competentieontwikkeling. Dit panel van organisaties werd opgesplitst in twee steekproeven van respectievelijk 10 en 12 bedrijven die op drie verschillende tijdstippen bevraagd zijn. 
Best practices in competentieontwikkeling: een barometer voor bedrijven","Mon, 05 Oct 2015 12:32:44 +0000",15111 at http://skillspanorama.cedefop.europa.eu,792
Apprenticeship supply in the Member States of the European Union,http://skillspanorama.cedefop.europa.eu/en/useful_resources/apprenticeship-supply-member-states-european-union,"Apprenticeship supply in the Member States of the European Union2012The present study is intended to provide an overview of the supply of apprenticeshiptype schemes in the EU Member States. For this purpose, the study discusses the effectiveness of these schemes in raising employability and facilitating labour market transitions of apprentices in the EU. Also, the study provides a number of recommendations for improving the functioning and performance of this type of VET schemes.
Concept of apprenticeship used in the context of this study
“Apprenticeship-type schemes” are understood in the context of this study as those forms of Initial Vocational Education and Training  that formally combine and alternate company based training  with school based education , and whose successful completion leads to nationally recognised initial VET certification degrees. This definition makes no explicit reference to the existence of a contractual direct relationship between the employer and the apprentice.
Apprenticeship supply in the Member States of the European Union","Mon, 05 Oct 2015 12:32:44 +0000",15112 at http://skillspanorama.cedefop.europa.eu,1071
"Projekt programu wdrożenia systemu kształcenia dualnego w Polsce, (Draft program for the implementation of the dual system of education in Poland)",http://skillspanorama.cedefop.europa.eu/en/useful_resources/projekt-programu-wdro%C5%BCenia-systemu-kszta%C5%82cenia-dualnego-w-polsce-draft-program,"Projekt programu wdrożenia systemu kształcenia dualnego w Polsce, 2012http://www.mirip.org.pl/plik,1479,opracowanie-prof-mieczyslawa-kabaja-pn-projekt-programu-wdrozenia-systemu-ksztalcenia-dualnego-w-polsce.pdf","Mon, 05 Oct 2015 12:32:44 +0000",15113 at http://skillspanorama.cedefop.europa.eu,211
Education at a Glance 2013: OECD Indicators,http://skillspanorama.cedefop.europa.eu/en/useful_resources/education-glance-2013-oecd-indicators-0,"Education at a Glance 2013: OECD Indicators2012As part of its response, the OECD Directorate for Education and Skills devotes a major effort to the development and analysis of the quantitative, internationally comparable indicators that it publishes annually in Education at a Glance.
These indicators enable educational policy makers and practitioners alike to see their education systems in light of other countries’ performance and, together with the OECD country policy reviews, are designed to support and review the efforts that governments are making towards policy reform.
Education at a Glance addresses the needs of a range of users, from governments seeking to learn policy lessons to academics requiring data for further analysis to the general public wanting to monitor how its country’s schools are progressing in producing world-class students. The publication examines the quality of learning outcomes, the policy levers and contextual factors that shape these outcomes, and the broader private and social returns that accrue to investments in education.
Education at a Glance 2013: OECD Indicators","Mon, 05 Oct 2015 12:32:44 +0000",15114 at http://skillspanorama.cedefop.europa.eu,1114
Apprenticeships and traineeships in EU27: Key success factors,http://skillspanorama.cedefop.europa.eu/en/useful_resources/apprenticeships-and-traineeships-eu27-key-success-factors,"Apprenticeships and traineeships in EU27: Key success factors2013This Guidebook is primarily targeted at authorities at all levels  wishing to establish new apprenticeship and traineeship schemes or improve existing ones. However, the Guidebook is also relevant for a range of other key actors, including social partners and educational institutions in both secondary and tertiary education sectors. The Guidebook is structured as follows:
Section 2 presents an overview of definitions of apprenticeships and traineeships, together with their distinctive features and key differences;
Section 3 comprises the 27 Summary Country Fiches which provide a brief overview of the main representative apprenticeship and traineeship programmes in each Member State, together with a review of available data on their effectiveness;
Section 4 presents the results of the cross-country qualitative and quantitative analysis of the effectiveness of the schemes, including key success factors and highlights examples of good and innovative practices.
Apprenticeships and traineeships in EU27: Key success factors","Mon, 05 Oct 2015 12:32:44 +0000",15115 at http://skillspanorama.cedefop.europa.eu,1098
